,0
146,VECTREN CORPORATION EMPLOYEES FEDERAL PAC https://t.co/vmesLVYhct
147,"The Special Counsel Report divided America further, just like the Ken Starr Report and the Iran Contra Report,

The… https://t.co/lfCm97b4bP"
148,The Greater Kansas City Federal Executive Board partnered with the KC Royals to offer public employees discounted p… https://t.co/LfbjAIPdNY
149,"Former CEO Edward Rostohar, who told federal investigators that he embezzled more than $40M from the CBS Employees… https://t.co/Sp9FB61b6e"
150,Thank you @astellasus employees for bagging federal food for us! They bagged 500 15-pound bags for our shoppers. 💙 https://t.co/Oom9cQsFox
151,"they let a presidential candidate get away with destroying evidence, putting her employees at risk of being charged… https://t.co/INxr0xGeWa"
152,Proud to be working alongside Speaker @NUSAJosh as we work to pass legislation that ensures centralized training th… https://t.co/VDgUPRVdiW
153,@derek_mafs Firing Sarah Sanders has nothing to do with being pro-unemployment. It's about wanting people with inte… https://t.co/ftqrOsZZ7Y
154,Loans for Federal Workers: New Maryland Law Will Help During Government Shutdowns https://t.co/xpAcWzrAja #emplaw #hr #employees
155,@NedSnark23 @claytonmarshall @adamcarolla Currently (2018) they are getting a $129 million federal tax credit. Is t… https://t.co/Es3ek5uv7J
156,"https://t.co/H86MnOvkky
https://t.co/wb63SqBzWg
https://t.co/SFHmiBGOVz
https://t.co/GCPVd82d6C… https://t.co/ZMxPoaBeSi"
157,"@SanfordBishop @chelliepingree @SenJeffMerkley ""Morale has been destroyed at this agency,"" said Peter Winch, an org… https://t.co/naBBDTo2U3"
158,@BrianKempGA @wsbtv @sendavidperdue Does he mean like screwing around with Federal employees and Contract employees… https://t.co/LOKBZg5S7E
159,The National Labor Relations Board is an independent federal agency that protects the rights of private sector empl… https://t.co/6NNEEgovUf
160,SCHOOLSFIRST FEDERAL CREDIT UNION EMPLOYEES FEDERAL PAC https://t.co/Ncpk3SOXDk
161,"Provincial and Federal government to launch housing plan for Balochistan Employees, private people and rest in Quet… https://t.co/jpNzwsv8Au"
162,@GeorgeWPratt @BDEngler19 @BernieSanders Ignoring the fact that business cost taxpayers money when they dump employ… https://t.co/Gh1piCPsHK
163,"On the 24th anniversary of the Oklahoma City bombing, NTEU remembers the 168 people—many of whom were federal emplo… https://t.co/hIvCx7KdN8"
164,This is NOT a partisan problem—the system is a wreck. There’s ZERO accountability for wrongdoers who get rewarded f… https://t.co/v6WipexQsQ
165,@CNNnewsroom @kaitlancollins .. b/c there are some of those in the #maga @realDonaldTrump crime  family &amp; treasonou… https://t.co/aNpxhFBDVw
166,@AsteadWesley @chrislhayes See this is kinda missing point. Voters are not supposed to have national security and c… https://t.co/OPh56VbkT5
167,"I was 15 when this happened. I will always remember. I lived 600 miles away in south Texas but it was very real, sc… https://t.co/QN3TIsh2Ts"
168,This new legislation would help federal workers applying for a mortgage during a government shutdown. Here's what y… https://t.co/g6xq4RwO26
169,Thank you @astellasus employees for bagging federal food for us! They bagged 500 15-pound bags for our shoppers. 💙 https://t.co/n7qMgghKJS
170,@SenatorDurbin Obstruction ? like Bill Clinton telling employees to lie ? Can you profess your innocence without breaking federal law ?
171,@dsamuelsohn @politico Let’s be clear - the choice is between following the law &amp; ethical requirements that ALL fed… https://t.co/uanImrc4o5
172,"@PostOpinions @FareedZakaria 3

Congress and not President is supposed to be picking members of Federal Reserve.  C… https://t.co/SP7aHmqttc"
173,@anniekarni Just like all of the Federal employees who told Trump how pleased they were to be unpaid because Trump… https://t.co/wnEwhM5ZbV
174,"@DLind Hate to tell you, but a State can't tell Federal Employees what they can/cannot do, especially on federal grounds."
175,@RealCandaceO @AOC Time to investigate the investigation.... oh brother. how can the job pool for federal elected e… https://t.co/sAuCThXkn8
176,"#WeRemember 
Federal Employees Credit Union
3rd Floor https://t.co/jmzk1rV4DJ"
177,@SamMarlow79 @EVML07 @jaketapper Not all stay to bolster careers and resumes. There are many federal employees stay… https://t.co/oPV0LUsBYL
